timezero,location,target,value
2017-04-23,TH01,1_biweek_ahead,2
2017-04-23,TH01,2_biweek_ahead,0
2017-04-23,TH01,3_biweek_ahead,11
2017-04-23,TH01,4_biweek_ahead,8
2017-04-23,TH01,5_biweek_ahead,11
2017-04-23,TH02,1_biweek_ahead,9
2017-04-23,TH02,2_biweek_ahead,13
2017-04-23,TH02,3_biweek_ahead,50
2017-04-23,TH02,4_biweek_ahead,44
2017-04-23,TH02,5_biweek_ahead,86
2017-04-23,TH03,1_biweek_ahead,3
2017-04-23,TH03,2_biweek_ahead,3
2017-04-23,TH03,3_biweek_ahead,7
2017-04-23,TH03,4_biweek_ahead,11
2017-04-23,TH03,5_biweek_ahead,19
2017-04-23,TH04,1_biweek_ahead,1
2017-04-23,TH04,2_biweek_ahead,0
2017-04-23,TH04,3_biweek_ahead,2
2017-04-23,TH04,4_biweek_ahead,9
2017-04-23,TH04,5_biweek_ahead,5
2017-04-23,TH05,1_biweek_ahead,0
2017-04-23,TH05,2_biweek_ahead,1
2017-04-23,TH05,3_biweek_ahead,4
2017-04-23,TH05,4_biweek_ahead,5
2017-04-23,TH05,5_biweek_ahead,3
2017-04-23,TH06,1_biweek_ahead,2
2017-04-23,TH06,2_biweek_ahead,2
2017-04-23,TH06,3_biweek_ahead,4
2017-04-23,TH06,4_biweek_ahead,6
2017-04-23,TH06,5_biweek_ahead,11
2017-04-23,TH07,1_biweek_ahead,0
2017-04-23,TH07,2_biweek_ahead,3
2017-04-23,TH07,3_biweek_ahead,0
2017-04-23,TH07,4_biweek_ahead,3
2017-04-23,TH07,5_biweek_ahead,3
2017-04-23,TH08,1_biweek_ahead,4
2017-04-23,TH08,2_biweek_ahead,6
2017-04-23,TH08,3_biweek_ahead,21
2017-04-23,TH08,4_biweek_ahead,49
2017-04-23,TH08,5_biweek_ahead,37
2017-04-23,TH09,1_biweek_ahead,0
2017-04-23,TH09,2_biweek_ahead,2
2017-04-23,TH09,3_biweek_ahead,1
2017-04-23,TH09,4_biweek_ahead,7
2017-04-23,TH09,5_biweek_ahead,5
2017-04-23,TH10,1_biweek_ahead,0
2017-04-23,TH10,2_biweek_ahead,0
2017-04-23,TH10,3_biweek_ahead,0
2017-04-23,TH10,4_biweek_ahead,0
2017-04-23,TH10,5_biweek_ahead,2
2017-04-23,TH11,1_biweek_ahead,4
2017-04-23,TH11,2_biweek_ahead,2
2017-04-23,TH11,3_biweek_ahead,5
2017-04-23,TH11,4_biweek_ahead,4
2017-04-23,TH11,5_biweek_ahead,14
2017-04-23,TH12,1_biweek_ahead,7
2017-04-23,TH12,2_biweek_ahead,9
2017-04-23,TH12,3_biweek_ahead,16
2017-04-23,TH12,4_biweek_ahead,25
2017-04-23,TH12,5_biweek_ahead,33
2017-04-23,TH13,1_biweek_ahead,2
2017-04-23,TH13,2_biweek_ahead,3
2017-04-23,TH13,3_biweek_ahead,8
2017-04-23,TH13,4_biweek_ahead,6
2017-04-23,TH13,5_biweek_ahead,21
2017-04-23,TH14,1_biweek_ahead,3
2017-04-23,TH14,2_biweek_ahead,12
2017-04-23,TH14,3_biweek_ahead,14
2017-04-23,TH14,4_biweek_ahead,16
2017-04-23,TH14,5_biweek_ahead,28
2017-04-23,TH15,1_biweek_ahead,1
2017-04-23,TH15,2_biweek_ahead,0
2017-04-23,TH15,3_biweek_ahead,2
2017-04-23,TH15,4_biweek_ahead,0
2017-04-23,TH15,5_biweek_ahead,2
2017-04-23,TH16,1_biweek_ahead,5
2017-04-23,TH16,2_biweek_ahead,0
2017-04-23,TH16,3_biweek_ahead,2
2017-04-23,TH16,4_biweek_ahead,9
